SNP	gene	p_value	FDR	q_value
SHU1	YBP2	3.48171548164732E-05	0.0142296778	0.0129218777
gNL07	BRR2	3.48228487361028E-05	0.0142310334	0.0129231088
SIR3	YRF1-1	3.48283188551251E-05	0.0142321283	0.012924103
TRM10	YMR148W	3.48302822873005E-05	0.0142321283	0.012924103
BUD3	ARG1	0.000034858	0.0142424653	0.01293349
TAF5	CLB6	3.48732528113048E-05	0.0142477418	0.0129382816
HAL9	ALD2	3.48824803975991E-05	0.014249607	0.0129399753
gBR07	RRP4	3.48825782323875E-05	0.014249607	0.0129399753
NER037W	SSA4	3.48873052093095E-05	0.0142505656	0.0129408459
MAD2	ADH4	3.4922412669917E-05	0.0142639329	0.0129529846
NBR056W	YPL247C	3.49277980338304E-05	0.0142651594	0.0129540983
NBR038W	DUS3	3.4936526824324E-05	0.0142675294	0.0129562506
YOR121C	LSC1	3.49383671505573E-05	0.0142675294	0.0129562506
TAD2	ADH4	3.49473692352581E-05	0.0142702322	0.0129587049
YNL114C	IML1	3.49718865841089E-05	0.0142792696	0.0129669117
MCM7	TYW1	3.49908432949926E-05	0.0142860354	0.0129730558
SAM50	MRPL23	3.50132543020193E-05	0.0142942106	0.0129804796
PNC1	YJR116W	3.50536867896278E-05	0.0143087807	0.0129937106
UFO1	SPO1	3.5053723300745E-05	0.0143087807	0.0129937106
YBR225W	NOP4	3.50563187456903E-05	0.0143088646	0.0129937868
PRM8	RIM8	3.50740571244771E-05	0.0143151289	0.0129994753
NBR016C	GSP1	3.50976138516628E-05	0.0143237669	0.0130073194
MNP1	IZH1	3.51025129383931E-05	0.0143241891	0.0130077028
RTC2	CNE1	3.51034334843643E-05	0.0143241891	0.0130077028
PIG1	CSR1	3.51174726374719E-05	0.0143289412	0.0130120182
NLR124W	ERG28	3.51372499826899E-05	0.0143358365	0.0130182797
MPD2	TPS2	3.51391605183133E-05	0.0143358365	0.0130182797
NPR090C	OPT2	3.5154706681599E-05	0.0143404346	0.0130224553
TRM7	YPL247C	3.5155221758367E-05	0.0143404346	0.0130224553
URK1	RMP1	3.51606907986154E-05	0.0143416884	0.0130235938
RAD51	MDL2	3.5169118766143E-05	0.0143441488	0.0130258281
gLR13	MAS1	3.51729252169194E-05	0.0143447241	0.0130263505
MLF3	POP2	3.51906196866687E-05	0.0143509629	0.013032016
YBR162W	SGD1	3.51965949711666E-05	0.014352422	0.013033341
YPQ1	ADR1	3.52033379966248E-05	0.014354194	0.0130349501
RED1	CSE2	3.52174187104306E-05	0.0143589575	0.0130392758
NBR041W	YMR291W	3.52211273696598E-05	0.0143594917	0.0130397609
YIM2	IMP1	3.52317016673479E-05	0.0143618985	0.0130419465
CYC7	YEL028W	3.52318284963067E-05	0.0143618985	0.0130419465
TRM7	MRD1	3.52362439767828E-05	0.0143627205	0.013042693
SAK1	MGA1	3.52796196462362E-05	0.014379422	0.0130578595
AGP1	TOM71	3.52821805708308E-05	0.0143794869	0.0130579184
NOP15	SEN1	3.52951385463143E-05	0.0143837888	0.013061825
MCM7	RPA34	3.52986226176067E-05	0.0143842296	0.0130622252
gBR08	RPA34	3.53153465945513E-05	0.0143894122	0.0130669315
MPD2	FUN14	3.53161475576939E-05	0.0143894122	0.0130669315
YLR271W	MGA2	3.53589044831104E-05	0.0144058529	0.0130818612
KTI12	PAM16	3.53617361131094E-05	0.0144060262	0.0130820186
YLR140W	YLR179C	3.53721758725935E-05	0.0144092988	0.0130849904
ECM31	LTV1	0.000035387	0.0144143625	0.0130895887
GLG1	GPT2	3.53977937062069E-05	0.0144177725	0.0130926854
YBR139W	LAC1	3.54014099291392E-05	0.0144182646	0.0130931322
SLX1	TSR1	3.54506632214433E-05	0.0144373423	0.0131104565
GRX4	ISC10	3.54537721920895E-05	0.0144376263	0.0131107145
CSH1	STP3	3.54604835043612E-05	0.0144393772	0.0131123044
VPS9	GCV2	3.54717983345695E-05	0.0144430022	0.0131155963
MAK5	SAP185	3.5475347664944E-05	0.0144434651	0.0131160166
PGI1	ERG24	3.5481620631759E-05	0.0144450368	0.0131174439
CSH1	YFR017C	3.54925764162079E-05	0.0144485145	0.013120602
SLI15	PUS2	3.55043325177179E-05	0.0144523176	0.0131240555
NTC20	STL1	3.55072959454901E-05	0.0144525413	0.0131242586
MKC7	DPB4	3.55382336694886E-05	0.0144641505	0.0131348009
gBR09	CNS1	3.55476509282706E-05	0.0144669999	0.0131373884
NBR016C	GIM4	3.55596183928444E-05	0.0144699296	0.0131400488
RPN6	YFH1	3.55615665444494E-05	0.0144699296	0.0131400488
YLR232W	YHR003C	3.55621003369707E-05	0.0144699296	0.0131400488
gCL01	LOT6	3.55746237457813E-05	0.0144740415	0.0131437829
NHR001C	MCM3	0.000035592	0.0144801142	0.0131492974
SUN4	UBR1	3.55955622956136E-05	0.0144805926	0.0131497318
SLI15	GDT1	3.56042601504946E-05	0.0144831468	0.0131520513
NPA3	p1	3.56163752783535E-05	0.0144858883	0.0131545408
SMY2	YDL027C	3.56178482626133E-05	0.0144858883	0.0131545408
YCL022C	FRM2	3.56182582239525E-05	0.0144858883	0.0131545408
ILV6	ERP2	3.56241225928925E-05	0.0144872892	0.013155813
NBR050C	CSH1	0.000035651	0.0144972437	0.0131648526
MPD2	SOL4	3.56617526879687E-05	0.014500056	0.0131674064
MDM30	n2	3.56627818561116E-05	0.014500056	0.0131674064
gCR02	YHI9	3.56714348813097E-05	0.0145025893	0.0131697069
YLR232W	CWC27	3.56833462195401E-05	0.0145054807	0.0131723326
gOL01	YOL153C	3.56833922971152E-05	0.0145054807	0.0131723326
NBR031C	DBP2	3.56879179168136E-05	0.0145063354	0.0131731087
YOL073C	CTT1	3.56903861259251E-05	0.0145063538	0.0131731254
NLR127C	FKS1	3.57110637825164E-05	0.0145137729	0.0131798627
MCM5	UPC2	3.57331421043586E-05	0.0145209582	0.0131863876
YOL118C	PNS1	3.57335939621169E-05	0.0145209582	0.0131863876
BUD3	LYS1	3.57438150973193E-05	0.0145241259	0.0131892642
UFO1	ALD6	3.57651258742149E-05	0.0145286914	0.01319341
CAD1	YDR444W	3.5765356897668E-05	0.0145286914	0.01319341
YCR041W	CIT2	3.57672282486955E-05	0.0145286914	0.01319341
HRP1	HHO1	3.57684300641087E-05	0.0145286914	0.01319341
YBR225W	FSH2	3.57702503107137E-05	0.0145286914	0.01319341
NNL012W	PRP38	3.57710961976315E-05	0.0145286914	0.01319341
BOP2	ERG11	3.5772369419703E-05	0.0145286914	0.01319341
KTR5	MRPL32	3.57744643367152E-05	0.0145286914	0.01319341
KTR5	MRPL23	3.57903729616776E-05	0.0145341663	0.0131983818
DIS3	PEX15	3.5803129510968E-05	0.0145383605	0.0132021905
MUM2	TIF1	3.58072987830233E-05	0.0145387104	0.0132025083
SLI15	AIM46	3.58088480515962E-05	0.0145387104	0.0132025083
ECM31	YDL027C	0.000035813	0.0145394187	0.0132031515
NNL008W	MRPL32	3.58172226599956E-05	0.0145401385	0.0132038051
YLR235C	POP2	0.000035827	0.0145431031	0.0132064972
BOP2	CDD1	3.58381616819137E-05	0.0145461802	0.0132092915
NPA3	CPR7	3.58393943059206E-05	0.0145461802	0.0132092915
YJL171C	AGP3	3.58532522289934E-05	0.0145508183	0.0132135034
NBR031C	UTP8	3.58603057676339E-05	0.0145517115	0.0132143144
YNL115C	RRF1	3.58603139660238E-05	0.0145517115	0.0132143144
AFG2	n1	0.000035875	0.0145567009	0.0132188453
NKL025W	EAP1	3.58955357087326E-05	0.0145638568	0.0132253435
OCH1	SMP1	3.58975419135492E-05	0.0145638568	0.0132253435
MAK5	FCF2	3.59015883880059E-05	0.0145645115	0.0132259381
YLR252W	NDE1	3.59596431089568E-05	0.0145870747	0.0132464275
NOR010W	YOR102W	3.59672027789842E-05	0.0145891528	0.0132483146
HAL9	NAM2	3.59734937878536E-05	0.014590716	0.0132497342
EXO5	SAP185	0.000035988	0.0145946224	0.0132532816
UBS1	SAP185	0.000035988	0.0145946224	0.0132532816
NBR031C	YPR076W	3.59977884786524E-05	0.0145976031	0.0132559883
SUN4	TOM40	3.60203540733053E-05	0.0146057644	0.0132633996
YSH1	GLO3	3.60301904089421E-05	0.0146087635	0.013266123
YBR075W	DPB2	3.60428898030358E-05	0.014612923	0.0132699002
NBR038W	YDL027C	3.60607203225908E-05	0.014619162	0.0132755659
AGP1	RER1	3.60653694724092E-05	0.0146200568	0.0132763784
RED1	ROX1	3.61002878672582E-05	0.0146325878	0.0132877577
TAF5	ELP2	3.61011695533769E-05	0.0146325878	0.0132877577
IRA2	ARO2	3.61058102709124E-05	0.0146334781	0.0132885662
RTC2	YKR023W	3.61105753722142E-05	0.0146344187	0.0132894203
gPL11	SYN8	3.61175421270492E-05	0.0146347548	0.0132897255
OAF1	YHR140W	3.61187379420675E-05	0.0146347548	0.0132897255
GEM1	YHR140W	3.61187379420675E-05	0.0146347548	0.0132897255
NBR041W	PCH2	3.61214667398418E-05	0.01463487	0.0132898302
YLR257W	PDI1	3.61414024463565E-05	0.0146413465	0.0132957114
NNL035W	TIM22	3.61423427957917E-05	0.0146413465	0.0132957114
gBR08	CGR1	3.6147857009604E-05	0.014641867	0.0132961841
NBR031C	PRE8	3.61508560556755E-05	0.014641867	0.0132961841
YKL091C	CWP1	0.000036151	0.014641867	0.0132961841
VPS65	YDL086W	3.61561756601289E-05	0.014642987	0.0132972011
RFC4	ADR1	0.000036169	0.0146467926	0.013300657
RTC2	UTH1	3.61706489484116E-05	0.0146467926	0.013300657
NNL035W	PRE2	3.61729117048428E-05	0.0146467926	0.013300657
TAT1	p2	3.61858839073206E-05	0.0146510543	0.013304527
LEU2	YLR132C	3.61957646175095E-05	0.0146540638	0.01330726
YML096W	YHR162W	3.62015607801689E-05	0.0146554194	0.0133084909
SHE10	YGL226W	3.62122386187043E-05	0.0146577599	0.0133106163
MTC3	YGL226W	3.62122386187043E-05	0.0146577599	0.0133106163
YBR139W	CUE4	3.62194908558203E-05	0.0146597043	0.013312382
EXO5	CLN2	3.62262480282433E-05	0.014660457	0.0133130655
UBS1	CLN2	3.62262480282433E-05	0.014660457	0.0133130655
HRP1	YNL234W	3.62447516725484E-05	0.0146669538	0.0133189653
RPT5	ATP2	3.62537844606061E-05	0.0146686854	0.0133205377
VPS65	YHB1	3.62583849632416E-05	0.0146686854	0.0133205377
YNL035C	ABP1	3.625883115413E-05	0.0146686854	0.0133205377
NNL004W	ABP1	3.625883115413E-05	0.0146686854	0.0133205377
TAF5	TRM11	3.62714570050755E-05	0.0146728018	0.0133242758
HAL9	YNR036C	3.6277412369947E-05	0.0146741673	0.0133255158
NNL012W	MRPL23	3.62797344318552E-05	0.0146741673	0.0133255158
NBR034W	TMA46	3.62863207279236E-05	0.0146748484	0.0133261343
NBR035W	TMA46	3.62863207279236E-05	0.0146748484	0.0133261343
YOL118C	YGR201C	3.62940863712747E-05	0.0146769976	0.0133280859
ROT2	TOP1	3.6304850577707E-05	0.0146803589	0.0133311384
YOR102W	YDL023C	3.63152761937174E-05	0.0146827456	0.0133333057
IRA2	YPR098C	3.63156577329921E-05	0.0146827456	0.0133333057
MED8	FAA3	3.63332979215869E-05	0.014688211	0.0133382688
YNL114C	PNT1	3.633408233358E-05	0.014688211	0.0133382688
NBR041W	YDL027C	3.6344076111998E-05	0.0146899938	0.0133398877
YLR366W	FKS1	3.63451265558454E-05	0.0146899938	0.0133398877
gMR12	FET4	3.6345853295285E-05	0.0146899938	0.0133398877
KTR4	FAA3	3.63594730279567E-05	0.0146937061	0.0133432588
NGL041C	ERO1	3.63599467781896E-05	0.0146937061	0.0133432588
YBR137W	MSB2	0.000036365	0.0146947448	0.0133442021
NBR056W	DUS3	0.000036371	0.0146962081	0.0133455309
SLM4	YFR035C	3.63892100919681E-05	0.0147025547	0.0133512942
FET3	YLR444C	3.6396200474131E-05	0.0147037932	0.0133524189
NDJ1	SLU7	3.63971873924352E-05	0.0147037932	0.0133524189
PEX32	TYW1	3.64071999291672E-05	0.0147068457	0.0133551909
YML083C	ALT2	3.64168355333659E-05	0.0147097456	0.0133578242
IRA1	PCH2	3.64367620533587E-05	0.0147168016	0.0133642317
VPS63	ADY3	3.64460694037671E-05	0.0147186796	0.0133659371
REX4	SGV1	3.64463286071459E-05	0.0147186796	0.0133659371
BNA2	MOG1	3.64571367845421E-05	0.0147211848	0.0133682121
RPB5	VPS66	3.64574498495355E-05	0.0147211848	0.0133682121
ILV6	ADK2	3.64604951444929E-05	0.0147214216	0.0133684271
YOL073C	XBP1	3.6466128320132E-05	0.0147221639	0.0133691012
NEL011C	ALG8	3.64672516081404E-05	0.0147221639	0.0133691012
TAF5	DBP7	3.64734962065713E-05	0.0147236921	0.0133704889
NBR031C	HRP1	3.64812767214919E-05	0.01472584	0.0133724394
UBP5	YDL129W	3.64850786946004E-05	0.0147263818	0.0133729314
ECM31	LGE1	3.64987513690856E-05	0.0147309074	0.0133770411
MLF3	MLP1	3.650608683434E-05	0.0147328748	0.0133788277
BDF1	SAD1	0.00003652	0.0147372905	0.0133828375
RPT5	YOR102W	0.000036522	0.0147372905	0.0133828375
NCR015C	ALT1	3.65271460352489E-05	0.0147383932	0.0133838389
YJL211C	AAD6	3.6530404739265E-05	0.0147387148	0.0133841309
YPQ1	n2	3.65370919663352E-05	0.0147397654	0.013385085
CGI121	YML079W	3.65379326065266E-05	0.0147397654	0.013385085
PCS60	YJR008W	3.65425748843195E-05	0.0147406449	0.0133858837
APC11	n1	0.000036547	0.0147413627	0.0133865355
ILV6	CPA2	3.65492788728852E-05	0.0147413627	0.0133865355
NBR016C	PNO1	3.66058853300401E-05	0.0147631992	0.013406365
NBR016C	ILM1	3.66114005660238E-05	0.0147644289	0.0134074817
COG6	MRPL32	3.6615669911723E-05	0.0147651561	0.0134081421
NBR056W	ZWF1	3.66344623867269E-05	0.0147717391	0.0134141201
AGP1	RAS2	3.66511421798948E-05	0.0147774695	0.0134193238
RPB5	SDA1	3.66606039123471E-05	0.014780289	0.0134218842
YNL035C	LAT1	3.66676744052873E-05	0.0147811489	0.0134226651
NNL004W	LAT1	3.66676744052873E-05	0.0147811489	0.0134226651
RPR1	SOD1	3.66734520209478E-05	0.0147824826	0.0134238762
PRM2	YIL082W-A	3.66814639530508E-05	0.0147847167	0.0134259049
YBR225W	MNN1	3.6696592277826E-05	0.0147898186	0.0134305379
RRP12	DPM1	3.67018777070496E-05	0.0147899575	0.0134306641
RQC2	DPM1	3.67018777070496E-05	0.0147899575	0.0134306641
HAL9	TVP15	3.67065814231914E-05	0.0147908574	0.0134314813
SLI15	EBP2	3.6715745350641E-05	0.0147935544	0.0134339304
YCL023C	PSF2	0.000036719	0.014793864	0.0134342116
YRA2	MNN4	3.67315984489996E-05	0.0147979237	0.0134378982
BUD3	ARO3	3.67345215918756E-05	0.0147979237	0.0134378982
YOL118C	YNL234W	3.67364762557892E-05	0.0147979237	0.0134378982
GRX2	BNA4	3.67505368559426E-05	0.0148025916	0.013442137
EMC2	p1	3.67577862992581E-05	0.0148045156	0.0134438842
YEL028W	YHM2	3.67827036589097E-05	0.0148130946	0.0134516747
YBR162W	ATX2	3.67869162380533E-05	0.0148130946	0.0134516747
NBR031C	PUS2	3.67871901514614E-05	0.0148130946	0.0134516747
MCP2	VPS70	0.000036789	0.0148130946	0.0134516747
MPD2	TVP15	3.68069488257363E-05	0.0148193316	0.0134573385
NIL018C	YIL151C	3.68232593653355E-05	0.0148249016	0.0134623966
SNR74	YMR010W	3.68397860788403E-05	0.0148303355	0.0134673311
NDJ1	YGP1	3.68417106827356E-05	0.0148303355	0.0134673311
YOL106W	YMR031C	3.68463892670995E-05	0.0148312216	0.0134681358
gBR08	HSP42	3.68836050354605E-05	0.0148452035	0.0134808326
NBR016C	YHR159W	3.68927935416405E-05	0.0148479035	0.0134832845
NBR051C	KIN4	3.69120727661356E-05	0.0148533305	0.0134882127
YBR139W	RNT1	3.69123011318336E-05	0.0148533305	0.0134882127
VPS63	PAU11	3.69137206827577E-05	0.0148533305	0.0134882127
STI1	ATP2	3.69179209400245E-05	0.0148540223	0.0134888409
BUD3	ATR1	3.69231629672838E-05	0.0148551331	0.0134898496
GSY2	CSE2	0.000036928	0.0148560922	0.0134907206
BUD23	CTF13	3.6951618717829E-05	0.0148645837	0.0134984317
LEU2	GLN3	3.69709490556322E-05	0.0148713606	0.0135045857
NGL041C	PLP2	0.000036976	0.0148723927	0.013505523
UBC12	ERG9	3.69842119294017E-05	0.0148746967	0.0135076153
NBR051C	FPR2	3.69900855587184E-05	0.0148760597	0.013508853
HAL9	AYR1	3.7003516881184E-05	0.0148799632	0.0135123977
MUM2	IMP4	3.70062221035881E-05	0.0148799632	0.0135123977
NCR015C	YJL213W	3.70072479640285E-05	0.0148799632	0.0135123977
NBR034W	RRP12	3.70155625761872E-05	0.0148813076	0.0135136185
NBR035W	RRP12	3.70155625761872E-05	0.0148813076	0.0135136185
NBR056W	KIN4	3.70197424445573E-05	0.0148819887	0.013514237
COS6	NUF2	3.70249007166139E-05	0.0148820638	0.0135143052
NGR128W	NUF2	3.70249007166139E-05	0.0148820638	0.0135143052
PEP8	ZRT1	3.70454368815135E-05	0.0148869861	0.0135187751
NBR034W	BFR2	3.70459196590444E-05	0.0148869861	0.0135187751
NBR035W	BFR2	3.70459196590444E-05	0.0148869861	0.0135187751
YAP1	OST6	3.70470930572949E-05	0.0148869861	0.0135187751
PGI1	YGR079W	3.70554724070308E-05	0.0148893539	0.0135209253
NNL008W	MRPL11	3.70784819187588E-05	0.0148975995	0.0135284131
YBR139W	YDL023C	0.000037086	0.014899614	0.0135302425
TAF13	PFK27	3.70885275316574E-05	0.0148996359	0.0135302623
SLI15	BSC2	3.70914276326599E-05	0.0148998012	0.0135304124
ARK1	MRPS35	3.71017975356272E-05	0.0149029669	0.0135332872
MNN5	SWI4	3.71048851279425E-05	0.0149031985	0.0135334975
YNL046W	GCN1	3.71073527195576E-05	0.0149031985	0.0135334975
YDL011C	MAF1	3.71188375341127E-05	0.0149068111	0.0135367781
NNL035W	SAM35	3.71291143275286E-05	0.0149099381	0.0135396177
gOL02	EDC2	3.71412665414088E-05	0.0149138082	0.0135431321
PCH2	LTV1	3.71437337067205E-05	0.0149138082	0.0135431321
HAL9	CTT1	3.71506755345058E-05	0.0149148479	0.0135440763
NBR038W	AIM46	3.71513056794474E-05	0.0149148479	0.0135440763
YBR162W	YBL028C	0.000037168	0.0149205482	0.0135492526
TYR1	YPL247C	3.71745861959113E-05	0.0149221929	0.0135507462
YBR139W	YFR017C	3.7186638155728E-05	0.01492603	0.0135542306
TRM7	SDA1	3.71952412303281E-05	0.0149284822	0.0135564575
SNR31	DCG1	3.72184540327658E-05	0.0149367975	0.0135640085
ATP14	n1	3.7222164049136E-05	0.0149372851	0.0135644514
NNL035W	MTM1	3.72374292991905E-05	0.0149424095	0.0135691048
NER037W	YLR252W	3.72543061215649E-05	0.0149481798	0.0135743448
BIO5	YNR065C	3.72574996872778E-05	0.0149484594	0.0135745987
STE50	ARO3	0.000037273	0.0149536736	0.0135793336
ELF1	MPT5	3.72938138622909E-05	0.0149604502	0.0135854874
HSP26	DPB2	3.72948819643266E-05	0.0149604502	0.0135854874
VPS63	YPT32	3.730228422017E-05	0.014962417	0.0135872735
YBR225W	TPP1	3.73202089580866E-05	0.0149673552	0.0135917578
PGI1	MDN1	3.73207738619463E-05	0.0149673552	0.0135917578
APN2	SLA1	3.73245951626389E-05	0.0149673552	0.0135917578
POP8	SLA1	3.73245951626389E-05	0.0149673552	0.0135917578
PGI1	YPL247C	3.73503125367855E-05	0.0149763169	0.0135998959
ROT2	MNN1	3.73519463521956E-05	0.0149763169	0.0135998959
MCM2	MNN2	3.74238978864283E-05	0.0150035247	0.0136246031
RPN14	AML1	3.74248164814802E-05	0.0150035247	0.0136246031
MUM2	YHR159W	3.74383580744632E-05	0.0150079486	0.0136286204
YOL106W	SLU7	3.74517663392044E-05	0.0150123184	0.0136325886
SLI15	TMA46	3.74658430385508E-05	0.0150169555	0.0136367995
RTC2	YNL181W	3.74867807385096E-05	0.0150239085	0.0136431135
YCL023C	GDH2	3.74882089256214E-05	0.0150239085	0.0136431135
PEX32	GTR2	0.000037494	0.0150242914	0.0136434612
STE11	TAL1	3.74941833245159E-05	0.0150242914	0.0136434612
YBR174C	YCL046W	3.75041379072186E-05	0.0150253553	0.0136444273
RRD2	GLR1	0.000037508	0.0150253553	0.0136444273
PXA1	GLR1	0.000037508	0.0150253553	0.0136444273
NGL041C	MSP1	3.75104229582397E-05	0.0150253553	0.0136444273
YGL176C	SIP2	3.75117924490624E-05	0.0150253553	0.0136444273
NTC20	TRF5	3.7513213382572E-05	0.0150253553	0.0136444273
TAF5	YFR017C	3.75144059056004E-05	0.0150253553	0.0136444273
VPS63	RCK2	3.75387996340686E-05	0.0150341198	0.0136523863
CCM1	RSR1	3.75506546617739E-05	0.0150378617	0.0136557843
NNL035W	RPN12	3.75707899416689E-05	0.0150420382	0.013659577
NTC20	YOR287C	3.75707940853158E-05	0.0150420382	0.013659577
YNL035C	HOM6	3.75711335583728E-05	0.0150420382	0.013659577
NNL004W	HOM6	3.75711335583728E-05	0.0150420382	0.013659577
YCL026C	TOM71	3.75757032970824E-05	0.0150428618	0.0136603249
YPQ1	SFK1	3.75799329343513E-05	0.0150435492	0.0136609491
MCP2	MUQ1	3.75951998917461E-05	0.0150486545	0.0136655851
HST3	HIR2	3.76105298148637E-05	0.0150537843	0.0136702435
YBR174C	YLR287C	3.76198087894717E-05	0.0150560758	0.0136723244
HAL9	YMR031C	3.76212845988418E-05	0.0150560758	0.0136723244
NER037W	YPL014W	3.76318332153196E-05	0.0150592907	0.0136752439
SAM50	SYS1	3.76383039578297E-05	0.0150608735	0.0136766812
YOL106W	CTT1	3.76418998655571E-05	0.0150613058	0.0136770737
URK1	SRP21	3.76488506485759E-05	0.0150621355	0.0136778271
YCL026C	STE3	0.000037649	0.0150621355	0.0136778271
ECM31	SSK1	3.76602793052998E-05	0.0150656392	0.0136810088
YNL115C	IFM1	0.000037664	0.0150661227	0.0136814479
RTC2	PHO2	3.76825994781073E-05	0.0150708771	0.0136857653
EXO5	TSR3	3.76834417972647E-05	0.0150708771	0.0136857653
UBS1	TSR3	3.76834417972647E-05	0.0150708771	0.0136857653
RIB4	SWA2	3.76998941522182E-05	0.0150763451	0.0136907308
SHE10	IFH1	3.77046686014691E-05	0.0150763451	0.0136907308
MTC3	IFH1	3.77046686014691E-05	0.0150763451	0.0136907308
AGP2	PEX29	3.77202958494782E-05	0.0150801497	0.0136941858
PEP8	ORC2	3.77231724054933E-05	0.0150801497	0.0136941858
NNL035W	YPR157W	3.77232817771616E-05	0.0150801497	0.0136941858
ECM7	CAR2	3.77242590031574E-05	0.0150801497	0.0136941858
NBR050C	SCS3	3.77282414954702E-05	0.0150807348	0.0136947171
YOL073C	AAP1	0.000037737	0.0150828177	0.0136966085
ISF1	RIM4	3.77384908094746E-05	0.0150828177	0.0136966085
YIL092W	HSP26	3.77447708646303E-05	0.0150833138	0.013697059
UTP25	HSP26	3.77447708646303E-05	0.0150833138	0.013697059
URA5	PHO84	3.77558027133958E-05	0.0150867153	0.0137001479
NBR034W	YDL023C	3.7766209321872E-05	0.0150888595	0.0137020951
NBR035W	YDL023C	3.7766209321872E-05	0.0150888595	0.0137020951
NBR056W	YKR023W	3.77693740334234E-05	0.015089117	0.0137023289
NBR034W	DRS1	3.77754533302143E-05	0.0150895319	0.0137027056
NBR035W	DRS1	3.77754533302143E-05	0.0150895319	0.0137027056
gOL02	GCD1	3.77877129557535E-05	0.015093422	0.0137062382
TUM1	QDR1	3.77978260273856E-05	0.0150964542	0.0137089918
SOV1	RPI1	3.78116183738056E-05	0.0151009555	0.0137130794
NER017W	PAN2	3.78184134395047E-05	0.0151026618	0.0137146289
YLR257W	YOR170W	0.000037839	0.0151098839	0.0137211872
YPQ1	TVP15	3.78560599394316E-05	0.0151156229	0.0137263987
IRA1	YLR352W	3.78584432487849E-05	0.0151156229	0.0137263987
SLI15	MSB2	3.7861874287371E-05	0.0151159847	0.0137267273
NNL008W	LAT1	3.78681490580792E-05	0.0151174817	0.0137280867
OAF1	ACS1	3.78886903854439E-05	0.0151236652	0.0137337019
GEM1	ACS1	3.78886903854439E-05	0.0151236652	0.0137337019
PCS60	FAA3	3.7919476749488E-05	0.0151349448	0.0137439449
RPL24B	RSR1	3.79359279015702E-05	0.0151394925	0.0137480745
YGR149W	RSR1	3.79359279015702E-05	0.0151394925	0.0137480745
YAL037W	PIP2	3.79456102123872E-05	0.0151423471	0.0137506668
NLR121W	ARE2	3.79512426093347E-05	0.0151434281	0.0137516485
YBR226C	THI21	3.79550632652136E-05	0.0151434281	0.0137516485
YPQ1	YOL048C	3.79581266323534E-05	0.0151434281	0.0137516485
SMY2	RSA4	3.79591438836375E-05	0.0151434281	0.0137516485
YBR144C	YBL054W	0.000037961	0.0151434281	0.0137516485
gER03	MOD5	3.79708297169136E-05	0.0151463537	0.0137543052
YHL017W	HHF1	3.79744742455826E-05	0.0151467983	0.0137547089
YJL211C	THI11	3.798107599896E-05	0.0151484223	0.0137561837
PIR3	MPT5	3.7994799632952E-05	0.0151526106	0.013759987
OAF1	ECI1	3.80048754446914E-05	0.0151526106	0.013759987
GEM1	ECI1	3.80048754446914E-05	0.0151526106	0.013759987
YBR174C	SPN1	3.80066556754074E-05	0.0151526106	0.013759987
REX4	FAP1	3.80092864055891E-05	0.0151526106	0.013759987
NBR034W	BRL1	3.80092934843844E-05	0.0151526106	0.013759987
NBR035W	BRL1	3.80092934843844E-05	0.0151526106	0.013759987
YML083C	YGR207C	3.80169433816265E-05	0.0151546512	0.0137618401
ECM31	VPS16	3.80223169644614E-05	0.0151555009	0.0137626117
PEX32	GDT1	3.80241378860949E-05	0.0151555009	0.0137626117
ILV6	ECM17	3.80274774238677E-05	0.015155823	0.0137629042
IFH1	PMT5	3.80368554383089E-05	0.0151585515	0.0137653819
DUR1                                                                             ,2	DFM1	0.00003804	0.0151587861	0.0137655949
MDY2	AYR1	3.8045145735959E-05	0.0151598372	0.0137665494
YPQ1	YMR031C	0.000038058	0.0151639451	0.0137702798
NBR016C	RPS14B	3.80679499748471E-05	0.0151669051	0.0137729678
RGA1	AIM13	3.80977756264518E-05	0.0151777781	0.0137828415
YBR032W	YDL121C	3.81072439335481E-05	0.0151800768	0.0137849289
CSH1	RTT10	3.81086166126562E-05	0.0151800768	0.0137849289
NBR056W	SSF2	3.81243788121463E-05	0.0151853451	0.013789713
CSH1	SNA2	3.81399174884919E-05	0.0151905237	0.0137944157
YBR139W	STD1	3.8159705732247E-05	0.015196478	0.0137998227
gOL02	n1	3.81599437095571E-05	0.015196478	0.0137998227
TRM10	YOR262W	3.81906983004528E-05	0.0152069398	0.013809323
MYO2	FRT1	3.81912943421303E-05	0.0152069398	0.013809323
KTR5	HOM6	3.82033105248428E-05	0.0152107127	0.0138127492
COG6	RML2	3.82063218800777E-05	0.0152109002	0.0138129194
ECM7	YRF1-2	0.000038209	0.0152109377	0.0138129534
YGR017W	MTL1	0.000038221	0.01521402	0.0138157525
YIM1	IMP1	3.82243230287908E-05	0.01521402	0.0138157525
ATG16	IMP1	3.82243230287908E-05	0.01521402	0.0138157525
MCM5	IZH4	3.82657158608443E-05	0.0152294827	0.0138297941
CDC36	YDL156W	3.8270245518684E-05	0.0152302731	0.0138305118
SMY2	SGD1	3.82796107583924E-05	0.0152329875	0.0138329768
MRS1	MRS1	3.83054489546822E-05	0.0152422565	0.0138413939
SLX1	YPL044C	3.83209000052301E-05	0.015246424	0.0138451783
HXK1	PHO4	3.83234428472331E-05	0.015246424	0.0138451783
YML108W	ADH2	3.83235620316433E-05	0.015246424	0.0138451783
