Interactor (sys)	Interactor (std)	Function
YJL066C	MPM1	unknown
YJL067W	YJL067W	unknown
YJL068C	YJL068C	metabolism/mitochondria
YJL070C	YJL070C	unknown
YJL073W	JEM1	signaling/stress response;protein degradation/proteosome
YJL074C_tsq259	smc3-1	DNA replication/repair/HR/cohesion
YJL074C_tsq63	smc3-42	DNA replication/repair/HR/cohesion
YJL077C	ICS3	unknown
YJL078C	PRY3	unknown
YJL079C	PRY1	unknown
YJL082W	IML2	unknown
YJL083W	TAX4	signaling/stress response
YJL084C	ALY2	cell polarity/morphogenesis
YJL085W	EXO70	cell polarity/morphogenesis
YJL089W	SIP4	metabolism/mitochondria
YJL091C_tsq655	gwt1-20	protein folding/protein glycosylation/cell wall biogenesis&integrity
YJL092W	SRS2	DNA replication/repair/HR/cohesion
YJL093C	TOK1	drug/ion transport
YJL094C	KHA1	drug/ion transport
YJL095W	BCK1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YJL098W	SAP185	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YJL099W	CHS6	cell polarity/morphogenesis
YJL100W	LSB6	unknown
YJL101C	GSH1	metabolism/mitochondria
YJL103C	GSM1	unknown
YJL105W	SET4	unknown
YJL106W	IME2	G1/S and G2/M cell cycle progression/meiosis
YJL107C	YJL107C	unknown
YJL108C	PRM10	unknown
YJL110C	GZF3	chromatin/transcription
YJL112W	MDV1	chromosome segregation/kinetochore/spindle/microtubule
YJL115W	ASF1	DNA replication/repair/HR/cohesion
YJL116C	NCA3	metabolism/mitochondria;chromatin/transcription
YJL117W	PHO86	ER<->Golgi traffic
YJL119C	YJL119C	unknown
YJL120W	YJL120W	unknown
YJL121C	RPE1	metabolism/mitochondria
YJL122W	ALB1	ribosome/translation
YJL123C	MTC1	ER<->Golgi traffic
YJL124C	LSM1	RNA processing
YJL126W	NIT2	unknown
YJL128C	PBS2	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis;metabolism/mitochondria;signaling/stress response
YJL129C_damp	TRK1_damp	drug/ion transport
YJL130C	URA2	metabolism/mitochondria
YJL132W	YJL132W	unknown
YJL133W	MRS3	drug/ion transport
YJL134W	LCB3	lipid/sterol/fatty acid biosynth;signaling/stress response
YJL135W	YJL135W	unknown
YJL136C	RPS21B	ribosome/translation
YJL137C	GLG2	metabolism/mitochondria
YJL138C	TIF2	ribosome/translation
YJL139C	YUR1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YJL141C	YAK1	metabolism/mitochondria;signaling/stress response
YJL142C	IRC9	unknown
YJL144W	YJL144W	unknown
YJL145W	SFH5	drug/ion transport;lipid/sterol/fatty acid biosynth
YJL146W	IDS2	G1/S and G2/M cell cycle progression/meiosis
YJL147C	YJL147C	unknown
YJL148W	RPA34	chromatin/transcription
YJL149W	DAS1	protein degradation/proteosome
YJL150W	YJL150W	unknown
YJL151C	SNA3	unknown
YJL152W	YJL152W	unknown
YJL153C	INO1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YJL154C	VPS35	Golgi/endosome/vacuole/sorting
YJL155C	FBP26	metabolism/mitochondria
YJL158C	CIS3	protein folding/protein glycosylation/cell wall biogenesis&integrity
YJL159W	HSP150	protein folding/protein glycosylation/cell wall biogenesis&integrity
YJL160C	YJL160C	unknown
YJL161W	FMP33	unknown
YJL162C	JJJ2	unknown
YJL163C	YJL163C	unknown
YJL164C	TPK1	signaling/stress response
YJL165C	HAL5	drug/ion transport;metabolism/mitochondria
YJL166W	QCR8	metabolism/mitochondria
YJL166W_damp	QCR8_damp	metabolism/mitochondria
YJL168C	SET2	chromatin/transcription
YJL169W	YJL169W	unknown
YJL170C	ASG7	cell polarity/morphogenesis;signaling/stress response
YJL171C	YJL171C	unknown
YJL172W	CPS1	Golgi/endosome/vacuole/sorting
YJL176C	SWI3	chromatin/transcription
YJL177W	RPL17B	ribosome/translation
YJL180C	ATP12	metabolism/mitochondria
YJL181W	YJL181W	unknown
YJL182C	YJL182C	unknown
YJL183W	MNN11	protein folding/protein glycosylation/cell wall biogenesis&integrity
YJL185C	YJL185C	unknown
YJL186W	MNN5	protein folding/protein glycosylation/cell wall biogenesis&integrity
YJL187C	SWE1	cell polarity/morphogenesis
YJL188C	BUD19	unknown
YJL191W	RPS14B	ribosome/translation
YJL192C	SOP4	ER<->Golgi traffic
YJL193W	YJL193W	unknown
YJL194W_tsq35	cdc6-1	DNA replication/repair/HR/cohesion
YJL196C	ELO1	metabolism/mitochondria
YJL197W	UBP12	unknown
YJL198W	PHO90	drug/ion transport;metabolism/mitochondria
YJL199C	MBB1	unknown
YJL201W	ECM25	unknown
YJL203W_tsq401	prp21-ts	RNA processing
YJL205C	NCE101	unknown
YJL206C	YJL206C	unknown
YJL206C-A	YJL206C-A	unknown
YJL208C	NUC1	metabolism/mitochondria
YJL212C	OPT1	drug/ion transport
YJL213W	YJL213W	unknown
YJL214W	HXT8	drug/ion transport;metabolism/mitochondria
YJL215C	YJL215C	unknown
YJL216C	YJL216C	unknown
YJL217W	REE1	unknown
YJL218W	YJL218W	unknown
YJR001W	AVT1	drug/ion transport;amino acid biosynth&transport/nitrogen utilization
YJR002W_damp	MPP10_damp	ribosome/translation
YJR003C	YJR003C	unknown
YJR005W	APL1	cell polarity/morphogenesis
YJR008W	YJR008W	unknown
YJR009C	TDH2	metabolism/mitochondria
YJR010C-A	SPC1	ER<->Golgi traffic
YJR010W	MET3	amino acid biosynth&transport/nitrogen utilization
YJR011C	YJR011C	unknown
YJR014W	TMA22	unknown
YJR015W	YJR015W	unknown
YJR016C_damp	ILV3_damp	amino acid biosynth&transport/nitrogen utilization
YJR019C	TES1	metabolism/mitochondria
YJR020W	YJR020W	unknown
YJR021C	REC107	G1/S and G2/M cell cycle progression/meiosis
YJR024C	MDE1	unknown
YJR025C	BNA1	metabolism/mitochondria
YJR030C	YJR030C	unknown
YJR031C	GEA1	ER<->Golgi traffic
YJR032W	CPR7	ER<->Golgi traffic
YJR033C	RAV1	Golgi/endosome/vacuole/sorting
YJR035W	RAD26	DNA replication/repair/HR/cohesion
YJR036C	HUL4	unknown
YJR037W	YJR037W	unknown
YJR038C	YJR038C	unknown
YJR039W	YJR039W	unknown
YJR040W	GEF1	drug/ion transport
YJR043C	POL32	DNA replication/repair/HR/cohesion
YJR044C	VPS55	Golgi/endosome/vacuole/sorting
YJR045C_tsq328	ssc1-2	metabolism/mitochondria
YJR047C	ANB1	ribosome/translation
YJR048W	CYC1	metabolism/mitochondria
YJR049C	UTR1	drug/ion transport;metabolism/mitochondria
YJR050W	ISY1	RNA processing
YJR051W	OSM1	metabolism/mitochondria
YJR052W	RAD7	protein degradation/proteosome;DNA replication/repair/HR/cohesion
YJR053W	BFA1	chromosome segregation/kinetochore/spindle/microtubule
YJR054W	ERM6	unknown
YJR057W_tsq22	cdc8-2	DNA replication/repair/HR/cohesion
YJR058C	APS2	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting
YJR059W	PTK2	drug/ion transport;signaling/stress response
YJR060W	CBF1	unknown
YJR061W	YJR061W	unknown
YJR062C	NTA1	protein degradation/proteosome
YJR066W	TOR1	signaling/stress response
YJR069C	HAM1	DNA replication/repair/HR/cohesion
YJR070C	LIA1	ribosome/translation
YJR073C	OPI3	lipid/sterol/fatty acid biosynth
YJR074W	MOG1	nuclear-cytoplasic transport
YJR075W	HOC1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YJR076C_tsq74	cdc11-2	cell polarity/morphogenesis
YJR076C_tsq76	cdc11-5	cell polarity/morphogenesis
YJR077C	MIR1	drug/ion transport;metabolism/mitochondria
YJR078W	BNA2	metabolism/mitochondria
YJR079W	YJR079W	unknown
YJR080C	AIM24	unknown
YJR082C	EAF6	chromatin/transcription
YJR083C	ACF4	cell polarity/morphogenesis
YJR084W	CSN12	protein degradation/proteosome
YJR087W	YJR087W	unknown
YJR088C	EMC2	unknown
YJR091C	JSN1	RNA processing
YJR092W	BUD4	cell polarity/morphogenesis
YJR094C	IME1	G1/S and G2/M cell cycle progression/meiosis
YJR094W-A	RPL43B	ribosome/translation
YJR095W	SFC1	drug/ion transport
YJR096W	YJR096W	unknown
YJR097W	JJJ3	metabolism/mitochondria;ribosome/translation
YJR098C	YJR098C	unknown
YJR099W	YUH1	protein degradation/proteosome
YJR100C	AIM25	unknown
YJR102C	VPS25	Golgi/endosome/vacuole/sorting
YJR103W	URA8	metabolism/mitochondria
YJR106W	ECM27	unknown
YJR107W	YJR107W	unknown
YJR108W	ABM1	unknown
YJR110W	YMR1	Golgi/endosome/vacuole/sorting;signaling/stress response
YJR111C	YJR111C	unknown
YJR113C	RSM7	metabolism/mitochondria;ribosome/translation
YJR115W	YJR115W	unknown
YJR116W	YJR116W	unknown
YJR117W	STE24	unknown
YJR118C	ILM1	unknown
YJR119C	JHD2	chromatin/transcription
YJR120W	YJR120W	unknown
YJR124C	YJR124C	unknown
YJR125C	ENT3	Golgi/endosome/vacuole/sorting
YJR126C	VPS70	Golgi/endosome/vacuole/sorting
YJR127C	RSF2	chromatin/transcription
YJR128W	YJR128W	unknown
YJR129C	YJR129C	unknown
YJR130C	STR2	metabolism/mitochondria
YJR131W	MNS1	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YJR133W	XPT1	metabolism/mitochondria
YJR134C	SGM1	unknown
YJR135C	MCM22	chromosome segregation/kinetochore/spindle/microtubule
YJR137C	ECM17	metabolism/mitochondria
YJR139C	HOM6	amino acid biosynth&transport/nitrogen utilization
YJR140C	HIR3	chromatin/transcription
YJR142W	YJR142W	unknown
YJR146W	YJR146W	unknown
YJR147W	HMS2	cell polarity/morphogenesis;signaling/stress response;chromatin/transcription
YJR149W	YJR149W	unknown
YJR150C	DAN1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YJR151C	DAN4	protein folding/protein glycosylation/cell wall biogenesis&integrity
YJR152W	DAL5	drug/ion transport;metabolism/mitochondria
YJR153W	PGU1	protein folding/protein glycosylation/cell wall biogenesis&integrity;metabolism/mitochondria
YJR154W	YJR154W	unknown
YKL001C	MET14	amino acid biosynth&transport/nitrogen utilization
YKL002W	DID4	Golgi/endosome/vacuole/sorting
YKL004W_damp	AUR1_damp	lipid/sterol/fatty acid biosynth
YKL005C	BYE1	chromatin/transcription
YKL006W	RPL14A	ribosome/translation
YKL007W	CAP1	cell polarity/morphogenesis
YKL008C	LAC1	lipid/sterol/fatty acid biosynth
YKL009W	MRT4	ribosome/translation;RNA processing
YKL010C	UFD4	unknown
YKL015W	PUT3	metabolism/mitochondria;chromatin/transcription
YKL017C	HCS1	DNA replication/repair/HR/cohesion
YKL020C	SPT23	lipid/sterol/fatty acid biosynth
YKL023W	YKL023W	unknown
YKL025C	PAN3	RNA processing
YKL026C	GPX1	metabolism/mitochondria
YKL027W	YKL027W	unknown
YKL029C	MAE1	metabolism/mitochondria
YKL030W	YKL030W	unknown
YKL031W	YKL031W	unknown
YKL032C	IXR1	unknown
YKL033W-A	YKL033W-A	unknown
YKL034W	TUL1	Golgi/endosome/vacuole/sorting
YKL038W	RGT1	metabolism/mitochondria;chromatin/transcription
YKL039W	PTM1	unknown
YKL040C	NFU1	metabolism/mitochondria
YKL041W	VPS24	Golgi/endosome/vacuole/sorting
YKL043W	PHD1	cell polarity/morphogenesis;chromatin/transcription
YKL044W	YKL044W	unknown
YKL045W_tsq19	pri2-1	DNA replication/repair/HR/cohesion
YKL046C	DCW1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YKL047W	ANR2	unknown
YKL048C	ELM1	cell polarity/morphogenesis;chromosome segregation/kinetochore/spindle/microtubule
YKL049C_damp	CSE4_damp	chromosome segregation/kinetochore/spindle/microtubule
YKL050C	YKL050C	unknown
YKL051W	SFK1	cell polarity/morphogenesis;signaling/stress response
YKL053C-A	MDM35	metabolism/mitochondria
YKL055C	OAR1	metabolism/mitochondria
YKL056C	TMA19	ribosome/translation
YKL057C	NUP120	nuclear-cytoplasic transport
YKL059C_damp	MPE1_damp	RNA processing
YKL061W	YKL061W	unknown
YKL062W	MSN4	signaling/stress response
YKL063C	YKL063C	unknown
YKL064W	MNR2	drug/ion transport
YKL065C	YET1	unknown
YKL066W	YKL066W	unknown
YKL067W	YNK1	unknown
YKL068W	NUP100	nuclear-cytoplasic transport
YKL069W	YKL069W	nuclear-cytoplasic transport
YKL070W	YKL070W	unknown
YKL071W	YKL071W	unknown
YKL072W	STB6	unknown
YKL073W	LHS1	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YKL074C	MUD2	RNA processing
YKL075C	YKL075C	unknown
YKL076C	PSY1	unknown
YKL077W	YKL077W	unknown
YKL078W_damp	DHR2_damp	ribosome/translation;RNA processing
YKL079W	SMY1	cell polarity/morphogenesis
YKL080W	VMA5	Golgi/endosome/vacuole/sorting
YKL081W	TEF4	ribosome/translation
YKL084W	HOT13	metabolism/mitochondria
YKL085W	MDH1	metabolism/mitochondria
YKL086W	SRX1	metabolism/mitochondria
YKL087C	CYT2	metabolism/mitochondria
YKL090W	CUE2	unknown
YKL091C	YKL091C	lipid/sterol/fatty acid biosynth
YKL092C	BUD2	cell polarity/morphogenesis
YKL093W	MBR1	metabolism/mitochondria
YKL094W	YJU3	metabolism/mitochondria
YKL096W	CWP1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YKL096W-A	CWP2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YKL097C	YKL097C	unknown
YKL098W	MTC2	unknown
YKL100C	YKL100C	unknown
YKL101W	HSL1	cell polarity/morphogenesis;G1/S and G2/M cell cycle progression/meiosis
YKL102C	YKL102C	unknown
YKL105C	YKL105C	unknown
YKL106W	AAT1	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YKL107W	YKL107W	unknown
YKL109W	HAP4	metabolism/mitochondria;chromatin/transcription
YKL110C	KTI12	ribosome/translation
YKL113C	RAD27	DNA replication/repair/HR/cohesion
YKL114C	APN1	DNA replication/repair/HR/cohesion
YKL115C	YKL115C	unknown
YKL116C	PRR1	cell polarity/morphogenesis;signaling/stress response
YKL117W	SBA1	unknown
YKL120W	OAC1	drug/ion transport;metabolism/mitochondria
YKL121W	DGR2	unknown
YKL123W	YKL123W	unknown
YKL124W	SSH4	Golgi/endosome/vacuole/sorting
YKL127W	PGM1	metabolism/mitochondria
YKL128C	PMU1	unknown
YKL129C	MYO3	cell polarity/morphogenesis
YKL130C	SHE2	nuclear-cytoplasic transport;RNA processing;chromosome segregation/kinetochore/spindle/microtubule
YKL131W	YKL131W	unknown
YKL132C	RMA1	unknown
YKL133C	YKL133C	unknown
YKL135C	APL2	Golgi/endosome/vacuole/sorting
YKL136W	YKL136W	cell polarity/morphogenesis
YKL137W	CMC1	unknown
YKL139W	CTK1	chromatin/transcription
YKL140W	TGL1	lipid/sterol/fatty acid biosynth
YKL142W	MRP8	metabolism/mitochondria;ribosome/translation
YKL146W	AVT3	drug/ion transport;amino acid biosynth&transport/nitrogen utilization
YKL147C	YKL147C	unknown
YKL148C	SDH1	metabolism/mitochondria
YKL149C	DBR1	RNA processing
YKL150W	MCR1	lipid/sterol/fatty acid biosynth
YKL151C	YKL151C	unknown
YKL156W	RPS27A	ribosome/translation
YKL157W	APE2	unknown
YKL158W	YKL158W	unknown
YKL159C	RCN1	signaling/stress response
YKL160W	ELF1	chromatin/transcription
YKL161C	YKL161C	unknown
YKL162C	YKL162C	unknown
YKL163W	PIR3	protein folding/protein glycosylation/cell wall biogenesis&integrity;signaling/stress response
YKL164C	PIR1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YKL166C	TPK3	signaling/stress response
YKL167C	MRP49	metabolism/mitochondria;ribosome/translation
YKL168C	KKQ8	unknown
YKL171W	YKL171W	unknown
YKL173W_tsq621	snu114-60	RNA processing
YKL174C	TPO5	drug/ion transport
YKL175W	ZRT3	drug/ion transport
YKL176C	LST4	amino acid biosynth&transport/nitrogen utilization
YKL177W	YKL177W	unknown
YKL178C	STE3	cell polarity/morphogenesis;signaling/stress response
YKL179C	COY1	Golgi/endosome/vacuole/sorting
YKL183W	LOT5	unknown
YKL184W	SPE1	metabolism/mitochondria
YKL185W	ASH1	chromatin/transcription
YKL187C	YKL187C	metabolism/mitochondria
YKL188C	PXA2	drug/ion transport;metabolism/mitochondria
YKL190W	CNB1	signaling/stress response
YKL191W	DPH2	metabolism/mitochondria;ribosome/translation
YKL193C_tsq572	sds22-5	signaling/stress response;chromosome segregation/kinetochore/spindle/microtubule
YKL195W_damp	MIA40_damp	metabolism/mitochondria
YKL198C	PTK1	drug/ion transport
YKL199C	YKL199C	unknown
YKL200C	YKL200C	unknown
YKL201C	MNN4	protein folding/protein glycosylation/cell wall biogenesis&integrity
YKL202W	YKL202W	unknown
YKL203C_damp	TOR2_damp	cell polarity/morphogenesis;signaling/stress response
YKL203C_tsq398	tor2-21	cell polarity/morphogenesis;signaling/stress response
YKL203C_tsq838	tor2-29	cell polarity/morphogenesis;signaling/stress response
YKL205W	LOS1	ribosome/translation
YKL206C	ADD66	protein degradation/proteosome
YKL207W	LRC3	unknown
YKL208W	CBT1	RNA processing
YKL211C	TRP3	amino acid biosynth&transport/nitrogen utilization
YKL212W	SAC1	Golgi/endosome/vacuole/sorting
YKL213C	DOA1	protein folding/protein glycosylation/cell wall biogenesis&integrity
YKL214C	YRA2	nuclear-cytoplasic transport;RNA processing
YKL215C	YKL215C	unknown
YKL216W	URA1	metabolism/mitochondria
YKL217W	JEN1	drug/ion transport;metabolism/mitochondria
YKL218C	SRY1	amino acid biosynth&transport/nitrogen utilization
YKL220C	FRE2	drug/ion transport;metabolism/mitochondria
YKL221W	MCH2	unknown
YKL222C	YKL222C	unknown
YKR003W	OSH6	lipid/sterol/fatty acid biosynth
YKR005C	YKR005C	unknown
YKR007W	MEH1	amino acid biosynth&transport/nitrogen utilization
YKR008W_tsq498	rsc4-2	chromatin/transcription
YKR009C	FOX2	lipid/sterol/fatty acid biosynth
YKR010C	TOF2	chromosome segregation/kinetochore/spindle/microtubule
YKR011C	YKR011C	unknown
YKR012C	YKR012C	unknown
YKR013W	PRY2	unknown
YKR014C	YPT52	cell polarity/morphogenesis;Golgi/endosome/vacuole/sorting
YKR015C	YKR015C	unknown
YKR016W	AIM28	unknown
YKR017C	YKR017C	unknown
YKR018C	YKR018C	unknown
YKR019C	IRS4	lipid/sterol/fatty acid biosynth
YKR020W	VPS51	Golgi/endosome/vacuole/sorting
YKR021W	ALY1	cell polarity/morphogenesis
YKR023W	YKR023W	unknown
YKR024C	DBP7	ribosome/translation
YKR026C	GCN3	metabolism/mitochondria
YKR027W	BCH2	protein folding/protein glycosylation/cell wall biogenesis&integrity;Golgi/endosome/vacuole/sorting
YKR028W	SAP190	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YKR029C	SET3	chromatin/transcription
YKR030W	GMH1	Golgi/endosome/vacuole/sorting
YKR031C	SPO14	lipid/sterol/fatty acid biosynth
YKR032W	YKR032W	unknown
YKR033C	YKR033C	unknown
YKR034W	DAL80	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YKR035C	OPI8	Golgi/endosome/vacuole/sorting
YKR035W-A	DID2	Golgi/endosome/vacuole/sorting
YKR036C	CAF4	chromatin/transcription;RNA processing
YKR038C_damp	KAE1_damp	chromatin/transcription
YKR039W	GAP1	amino acid biosynth&transport/nitrogen utilization
YKR040C	YKR040C	unknown
YKR041W	YKR041W	unknown
YKR042W	UTH1	unknown
YKR043C	YKR043C	unknown
YKR044W	UIP5	unknown
YKR045C	YKR045C	unknown
YKR046C	PET10	metabolism/mitochondria
YKR047W	YKR047W	unknown
YKR048C	NAP1	cell polarity/morphogenesis
YKR049C	FMP46	metabolism/mitochondria
YKR050W	TRK2	drug/ion transport
YKR051W	YKR051W	unknown
YKR052C	MRS4	metabolism/mitochondria;RNA processing
YKR053C	YSR3	lipid/sterol/fatty acid biosynth;signaling/stress response
YKR054C	DYN1	chromosome segregation/kinetochore/spindle/microtubule
YKR055W	RHO4	cell polarity/morphogenesis;signaling/stress response
YKR056W	TRM2	ribosome/translation
YKR057W	RPS21A	ribosome/translation
YKR058W	GLG1	metabolism/mitochondria
YKR059W	TIF1	ribosome/translation
YKR060W	UTP30	ribosome/translation;RNA processing
YKR061W	KTR2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YKR062W_tsq692	tfa2-45	chromatin/transcription
YKR064W	OAF3	lipid/sterol/fatty acid biosynth
YKR065C	PAM17	metabolism/mitochondria
YKR066C	CCP1	metabolism/mitochondria
YKR067W	GPT2	lipid/sterol/fatty acid biosynth
YKR069W	MET1	metabolism/mitochondria
YKR070W	YKR070W	unknown
YKR072C	SIS2	drug/ion transport
YKR074W	AIM29	unknown
YKR075C	YKR075C	unknown
YKR076W	ECM4	metabolism/mitochondria
YKR077W	MSA2	G1/S and G2/M cell cycle progression/meiosis;chromatin/transcription
YKR078W	YKR078W	unknown
YKR080W	MTD1	metabolism/mitochondria
YKR082W	NUP133	nuclear-cytoplasic transport
YKR084C	HBS1	RNA processing
YKR086W_tsq644	prp16-ts	RNA processing
YKR087C	OMA1	metabolism/mitochondria;protein degradation/proteosome
YKR088C	TVP38	Golgi/endosome/vacuole/sorting
YKR089C	TGL4	metabolism/mitochondria;lipid/sterol/fatty acid biosynth
YKR090W	PXL1	cell polarity/morphogenesis
YKR091W	SRL3	unknown
YKR092C	SRP40	ribosome/translation;nuclear-cytoplasic transport
YKR093W	PTR2	drug/ion transport
YKR094C	RPL40B	ribosome/translation
YKR095W	MLP1	RNA processing
YKR096W	ESL2	unknown
YKR097W	PCK1	metabolism/mitochondria
YKR098C	UBP11	unknown
YKR099W	BAS1	amino acid biosynth&transport/nitrogen utilization
YKR100C	SKG1	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis
YKR101W	SIR1	chromatin/transcription
YKR102W	FLO10	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis;signaling/stress response
YKR103W	NFT1	drug/ion transport
YKR104W	YKR104W	drug/ion transport
YKR105C	VBA5	unknown
YKR106W	YKR106W	unknown
YLL001W	DNM1	chromosome segregation/kinetochore/spindle/microtubule
YLL002W	RTT109	DNA replication/repair/HR/cohesion
YLL003W_tsq475	sfi1-3	G1/S and G2/M cell cycle progression/meiosis;chromosome segregation/kinetochore/spindle/microtubule
YLL004W_tsq351	orc3-70	DNA replication/repair/HR/cohesion
YLL005C	SPO75	G1/S and G2/M cell cycle progression/meiosis
YLL006W	MMM1	metabolism/mitochondria
YLL010C	PSR1	signaling/stress response
YLL012W	YEH1	lipid/sterol/fatty acid biosynth
YLL013C	PUF3	metabolism/mitochondria;RNA processing
YLL014W	EMC6	unknown
YLL015W	BPT1	drug/ion transport
YLL016W	SDC25	unknown
YLL017W	YLL017W	cell polarity/morphogenesis;signaling/stress response
YLL019C	KNS1	unknown
YLL020C	YLL020C	unknown
YLL021W	SPA2	cell polarity/morphogenesis
YLL023C	YLL023C	unknown
YLL024C	SSA2	ER<->Golgi traffic
YLL025W	PAU17	unknown
YLL026W	HSP104	unknown
YLL028W	TPO1	drug/ion transport
YLL029W	FRA1	unknown
YLL032C	YLL032C	unknown
YLL038C	ENT4	Golgi/endosome/vacuole/sorting
YLL039C	UBI4	unknown
YLL040C	VPS13	Golgi/endosome/vacuole/sorting
YLL041C	SDH2	metabolism/mitochondria
YLL043W	FPS1	drug/ion transport
YLL045C	RPL8B	ribosome/translation
YLL046C	RNP1	unknown
YLL047W	YLL047W	unknown
YLL048C	YBT1	drug/ion transport
YLL049W	LDB18	chromosome segregation/kinetochore/spindle/microtubule
YLL050C_tsq234	cof1-5	cell polarity/morphogenesis
YLL051C	FRE6	drug/ion transport;metabolism/mitochondria
YLL052C	AQY2	drug/ion transport
YLL053C	YLL053C	unknown
YLL054C	YLL054C	unknown
YLL055W	YCT1	drug/ion transport
YLL056C	YLL056C	unknown
YLL057C	JLP1	unknown
YLL058W	YLL058W	unknown
YLL059C	YLL059C	unknown
YLL060C	GTT2	metabolism/mitochondria
YLL061W	MMP1	drug/ion transport;metabolism/mitochondria
YLL062C	MHT1	metabolism/mitochondria
YLL063C	AYT1	metabolism/mitochondria
YLR001C	YLR001C	unknown
YLR002C_damp	NOC3_damp	ribosome/translation;DNA replication/repair/HR/cohesion
YLR003C	CMS1	ribosome/translation;DNA replication/repair/HR/cohesion
YLR004C	THI73	drug/ion transport
YLR005W_tsq752	ssl1-T242I	chromatin/transcription;DNA replication/repair/HR/cohesion
YLR006C	SSK1	signaling/stress response
YLR008C_tsq501	pam18-1	metabolism/mitochondria
YLR011W	LOT6	metabolism/mitochondria
YLR012C	YLR012C	unknown
YLR013W	GAT3	chromatin/transcription
YLR014C	PPR1	metabolism/mitochondria;chromatin/transcription
YLR015W	BRE2	chromatin/transcription
YLR016C	PML1	RNA processing
YLR017W	MEU1	metabolism/mitochondria
YLR018C	POM34	nuclear-cytoplasic transport
YLR019W	PSR2	signaling/stress response
YLR020C	YEH2	lipid/sterol/fatty acid biosynth
YLR021W	IRC25	protein degradation/proteosome
YLR022C_damp	SDO1_damp	ribosome/translation
YLR023C	IZH3	drug/ion transport;lipid/sterol/fatty acid biosynth
YLR024C	UBR2	unknown
YLR027C_damp	AAT2_damp	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YLR028C	ADE16	metabolism/mitochondria
YLR030W	YLR030W	unknown
YLR031W	YLR031W	unknown
YLR032W	RAD5	DNA replication/repair/HR/cohesion
YLR034C	SMF3	drug/ion transport
YLR035C	MLH2	DNA replication/repair/HR/cohesion
YLR036C	YLR036C	unknown
YLR037C	DAN2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YLR038C	COX12	metabolism/mitochondria
YLR039C	RIC1	Golgi/endosome/vacuole/sorting
YLR040C	YLR040C	unknown
YLR041W	YLR041W	unknown
YLR042C	YLR042C	unknown
YLR043C	TRX1	ER<->Golgi traffic;Golgi/endosome/vacuole/sorting;signaling/stress response
YLR044C	PDC1	metabolism/mitochondria
YLR045C_tsq550	stu2-12	chromosome segregation/kinetochore/spindle/microtubule
YLR046C	YLR046C	unknown
YLR047C	FRE8	drug/ion transport;metabolism/mitochondria
YLR048W	RPS0B	ribosome/translation
YLR049C	YLR049C	unknown
YLR050C	YLR050C	unknown
YLR051C_damp	FCF2_damp	ribosome/translation
YLR053C	YLR053C	unknown
YLR054C	OSW2	protein folding/protein glycosylation/cell wall biogenesis&integrity;G1/S and G2/M cell cycle progression/meiosis
YLR056W	ERG3	lipid/sterol/fatty acid biosynth
YLR057W	YLR057W	unknown
YLR058C	SHM2	amino acid biosynth&transport/nitrogen utilization
YLR059C	REX2	ribosome/translation;RNA processing
YLR061W	RPL22A	ribosome/translation
YLR062C	BUD28	unknown
YLR063W	YLR063W	unknown
YLR064W	YLR064W	unknown
YLR065C	YLR065C	unknown
YLR068W	FYV7	ribosome/translation
YLR070C	XYL2	metabolism/mitochondria
YLR072W	YLR072W	unknown
YLR073C	YLR073C	unknown
YLR077W	FMP25	unknown
YLR078C_tsq199	bos1-1	ER<->Golgi traffic
YLR079W	SIC1	G1/S and G2/M cell cycle progression/meiosis;DNA replication/repair/HR/cohesion
YLR080W	EMP46	ER<->Golgi traffic
YLR081W	GAL2	drug/ion transport;metabolism/mitochondria
YLR082C	SRL2	unknown
YLR083C	EMP70	unknown
YLR084C	RAX2	cell polarity/morphogenesis
YLR085C	ARP6	chromatin/transcription
YLR087C	CSF1	unknown
YLR089C	ALT1	unknown
YLR090W	XDJ1	unknown
YLR092W	SUL2	metabolism/mitochondria;chromatin/transcription
YLR093C	NYV1	Golgi/endosome/vacuole/sorting
YLR094C	GIS3	unknown
