protein.group	BY	RM	1_1_d	1_3_d	1_4_d	1_5_c	2_2_d	2_3_d	2_4_a	2_5_d	3_1_d	3_3_d	3_4_d	3_5_d	4_1_c	4_3_d	4_4_d	5_1_d	5_2_d	5_3_d	5_4_d	5_5_d	6_1_d	6_2_b	6_3_c	6_4_d	6_5_d	6_6_d	6_7_d	7_1_d	7_2_c	7_3_d	7_4_c	7_5_d	7_6_c	7_7_c	7_8_d	8_1_a	8_2_d	8_3_a	8_4_c	8_5_b	8_6_c	8_7_b	9_1_d	9_2_d	9_3_d	9_4_d	9_5_d	9_6_d	9_7_d	10_1_c	10_2_d	10_3_c	10_4_d	11_1_a	11_2_d	11_3_b	12_1_d	12_2_b	13_1_a	13_2_c	13_3_b	13_4_a	13_5_c	14_1_b	14_2_c	14_5_b	14_6_d	14_7_c	15_2_d	15_3_b	15_5_b	16_1_d	17_1_a	17_2_d	17_4_a	17_5_b	18_1_d	18_2_d	18_3_d	19_1_c	19_5_b	20_1_d	20_2_d	20_3_c	20_4_c	20_5_d	21_1_d	21_3_d	21_4_d	21_5_c	22_1_d	22_2_d	22_3_b	22_4_d	22_5_d	23_3_d	23_4_d	23_5_d	24_1_d	25_1_d	25_3_d	25_4_d	26_1_d	26_2_d	26_3_d
"[orf_trans_mod] HAS1/YMR290C SGDID:S000004903, Chr XIII from 851590-850073, reverse complement, Verified ORF, ""ATP-dependent RNA helicase; localizes to both the nuclear periphery and nucleolus; highly enriched in nuclear pore complex fractions; constituent of 66S pre-ribosomal particles"""	3441656.6946500004	3638359.37132	5244712.855325	3518080.38375	3030558.879075	2448355.01655	4768953.5488	3731221.832575	1153098.2474	2433900.828275	4065497.0632	2068807.932525	808734.787775	3623283.612225	910273.522325	3326238.1571	2332623.1582500003	937112.8326	2193021.90455	3106569.11655	1595539.690075	3854570.069325	2949949.26695	3982422.289375	3656562.2219	3043089.458775	2576069.72935	3503668.97205	3586121.723750001	2255511.24	3326982.9051	3361641.1851	3038028.706275	1289992.112175	2294512.1782	2494598.408325	3974965.425625	1038890.394825	3368655.4214500007	3067067.534025	3342435.166875	3016975.8799750004	2235355.45325	5148102.224099998	3557203.373925	1085389.98275	5358984.540750002	855287.1847	6545294.820525	1398149.146425	3383394.771025	2865392.97125	4255371.864325	6359411.696233332	4366830.58295	5208200.316925	5232340.076125	5635594.533249998	2505114.167925	4971314.2326	2081754.311425	844405.031325	3782374.0483	5015786.8723249985	4141425.802925	1399959.3589	5416329.203275	2356156.916775	1115514.36415	2533243.292075	4712320.9652	3719052.4458	2067572.592775	2658874.316025	942790.5625333331	2804175.3553	2488876.3989000004	2797654.25475	2125358.762	3023225.6378999995	2482251.635875	2892264.0457	3763522.81885	2419900.2711	2449741.49895	9304061.61195	7663302.793175	2233827.800275	2219450.5774	6604566.5063	1469011.15645	3287847.390325	3382960.338875001	1783720.5087	884429.253575	6249196.888025002	3471149.9355749995	7567270.374849998	2319851.5074	4418293.645625	960536.692975	853097.3648000002	6335084.3442	6429427.4794999985	1931836.64155	2993860.1834	923852.40185
"[orf_trans_mod] ADE4/YMR300C SGDID:S000004915, Chr XIII from 867090-865558, reverse complement, Verified ORF, ""Phosphoribosylpyrophosphate amidotransferase (PRPPAT; amidophosphoribosyltransferase), catalyzes first step of the 'de novo' purine nucleotide biosynthetic pathway"""	361727.3258166667	568886.8579500001	572151.4219	635793.652275	566131.52475	798141.9915	NA	NA	870346.0098666665	437419.2868	921500.9391	227516.4073	1505255.6002666669	578830.9463	692523.44555	719241.69125	888443.502	469485.0533	1052083.196925	843023.7916499998	307572.05985	1018153.7762	251627.8746	NA	221095.41635	282990.60805	NA	718306.1940333334	568466.4622749999	509137.74736666656	NA	367610.4336	431290.9056	411872.9249	NA	830321.06225	NA	389560.472375	1170302.3377	712644.72175	699151.8496000001	1064225.428425	NA	1066683.82565	1346533.107425	1254478.705025	1062033.50625	2613049.984133333	NA	141430.1075	789918.858675	927289.088625	NA	NA	297827.64223333326	984101.634375	647424.7321	NA	581887.918375	1031780.2240666669	NA	613763.1126	1234727.4227	773272.4444749998	640177.6557499999	1924677.271625	452301.39003333345	832440.21245	1382410.40135	261220.9428	1273481.67415	1049551.51715	836597.4595333333	NA	580900.264025	691240.1321	178630.7566	NA	NA	597990.5909749999	380494.11380000005	NA	473393.3546	292380.2407	NA	NA	1723537.9356	220926.6163	951186.4890333335	NA	215328.3668	997387.68	399998.18100000004	NA	1315364.8295999998	432393.2579	557870.60045	235914.3589	348545.66215	241401.9775	296356.6494	1286729.6525750002	239750.76365	NA	744073.985575	505132.78540000005	310624.2875
"[orf_trans_mod] UBP15/YMR304W SGDID:S000004920, Chr XIII from 874986-878678, Verified ORF, ""Ubiquitin-specific protease that may play a role in ubiquitin precursor processing"""	14148625.076255554	11347348.375489999	2595386.337875	8495604.362499999	13304057.0036	14075070.939425005	1487163.88195	7562161.038525	5133545.887925	6254962.641525	6962950.7036	9948387.899875	6331919.225425	8287540.9073	6888847.666624999	10471476.991025	8205233.46385	12180553.010666668	6518471.815	13093659.7902	9767584.0152	1944031.83155	2368637.0666	5510751.245225	2527603.7177	14436158.68435	9262009.204133334	4335289.8130250005	12000835.973675	5298767.964025	15065559.457025	5714715.979275	13772794.2547	11787652.6109	20591564.846125007	7831913.485599998	6222863.38925	2125794.698133333	3468963.296625	18635024.3011	7385547.445850002	11490764.920275	3234787.56865	13207489.052474998	14236874.14725	5069075.24015	15407830.142733335	7070526.260050002	13843284.315533333	3327989.3737666667	1356362.8634	5318769.011766667	2011037.4299250003	1584393.2121499998	3091715.887700001	10656425.1839	11145256.9499	3516868.296375	6904360.413799998	9908229.61825	16222164.783275	10721849.866300002	14155263.8222	16087321.25275	16548920.1901	3229584.0997333326	1181125.1402333332	14392518.862675	4189329.4603	1821235.6713	14966045.058233336	5421249.3302	4839449.2062	1888736.2144	2823674.87125	2956497.267	2047084.316675	1837101.273533333	1793504.6647	8091019.4580999985	8323355.262074999	NA	1248330.8647	2428593.9628	5925534.628475	2392123.2493000003	799900.94475	6572135.214199998	5776436.5174	892575.193	1999094.9679333328	2740960.1789	NA	1076743.6625	908078.2807	1398100.017	7148202.993733333	1280956.48595	6140562.266133334	1059790.881925	6856570.953475	4754116.0013	12235352.759	5195104.42855	6898678.069525	1290501.32315	2673488.18795
"[orf_trans_mod] GAS1/YMR307W SGDID:S000004924, Chr XIII from 887002-888681, Verified ORF, ""Beta-1,3-glucanosyltransferase, required for cell wall assembly; localizes to the cell surface via a glycosylphosphatidylinositol (GPI) anchor"""	5254634.360420002	5470415.208880001	4442999.152425	3790491.540325	4807083.126274998	4660273.03735	3609831.331975	4506081.1959500015	2090479.717825	3725461.836125	6494016.419	5623802.010925	1876809.767166667	4169478.487725	1464481.0601	4960940.0104	5595081.61765	2610218.09255	4787050.813575	4175064.2210000004	4151784.23715	3348286.29875	4902209.9559	5724892.07745	4193970.39425	3605047.8716	4704141.951	5195183.7101	4024362.2379	5545561.875075	5447709.278325002	5168149.9823	4289219.340425	3974281.38085	4760604.8065249985	4564265.637325	6259156.98315	1867172.8249	3825526.613225	4760646.7593	3968267.303575	3816216.143925	2746565.2871250003	3412208.48625	3935162.2103	2469458.6096	5328590.840899998	2813029.266725	4763307.5823	2164955.0371000003	4332331.5956	2871836.39725	5710396.895825	5903889.035975	4429988.0538	4043811.201925	4167301.8016	4939875.8157250015	2483601.146975	5623523.6993	3508007.366725	3029473.292175	3044082.55405	3872759.04955	5323485.3120249985	1930487.3979	5490250.7347	3389825.1209	2149539.6487	2680799.49835	3820215.780625	3913835.950425	3095412.647625	6645018.98835	2876563.5767	5516919.899025	6623531.529575	6742496.604675001	5249346.95835	5525035.144725	5575981.1438	1953109.7404666662	3360456.61725	3885644.57515	2808576.7501250003	5466224.097125	3671341.39815	4028060.66365	1445358.2950749998	6118417.659349998	2463629.23225	5838472.457775001	5532975.440625002	3266900.26575	4239478.325975	7389786.462974999	3661783.802825	3637082.6454	3406963.49725	5392285.295775	1589449.9716750004	1980386.0934	5813016.311775	6547731.97945	3172655.40775	4810672.9831	2895949.3168
"[orf_trans_mod] PSE1/YMR308C SGDID:S000004925, Chr XIII from 892220-888951, reverse complement, Verified ORF, ""Karyopherin/importin that interacts with the nuclear pore complex; acts as the nuclear import receptor for specific proteins, including Pdr1p, Yap1p, Ste12p, and Aft1p"""	1331952.11234	772861.9074100001	635513.4106749999	600306.670775	680082.007275	857034.145275	466856.0646333334	444016.5137	782766.2862499999	311859.937675	999390.81315	973055.079525	576437.20525	1138598.3225	683325.0120000001	1039837.5684	693303.070725	618666.481775	921228.62085	1010399.96	543808.6845249999	737646.134775	488323.303475	598121.532125	591671.2581	769013.748	613457.740975	720789.3501250001	1493396.0192250004	911521.08265	642578.3628499999	874798.8902750001	746441.55865	607774.8743	894105.494875	927554.273975	963573.4553	766798.6212500002	932171.524375	741342.404225	824415.66945	1305238.733975	451154.960875	1493248.5582	1611013.1862750002	1867899.380075	1077685.648125	1243169.731275	1078369.1146666666	450495.9823	909833.22575	1000134.806625	1581598.85475	1008537.388975	1411592.523825	1300599.395	1010831.7627	1388467.96565	761219.944725	1219374.34335	958073.913	978713.689875	1217773.44035	1355977.82205	982746.3129	1191543.25805	1273068.00965	1330294.7866250002	1437923.3407	922972.601925	1688337.507825	1094535.213475	1516429.7018000004	929067.83315	526521.097575	1110996.977375	1039776.79375	889527.4479	1010235.849475	1014058.382375	872413.371375	598496.30425	674498.7087	758041.3218749998	1113019.052225	867645.72225	928823.492275	669169.3353333335	728107.367825	1128165.3269250002	741587.266525	662658.2917333335	687512.5553	647935.7461250001	749241.7377749998	1028623.0916666669	783949.1685	732606.0897666665	204034.5722	512319.2024	611919.052325	1190972.632025	1075719.91765	1149442.94465	1284004.5806	1001088.50365	466342.162225
"[orf_trans_mod] NIP1/YMR309C SGDID:S000004926, Chr XIII from 895425-892987, reverse complement, Verified ORF, ""Subunit of the eukaryotic translation initiation factor 3 (eIF3), involved in the assembly of preinitiation complex and start codon selection"""	1251847.2761	1540141.7493399999	2339128.35355	1238781.2392	3004259.4948	2851271.242950001	2833214.1245	1718173.6580000003	742525.5307	2054783.5561	4326176.278275	1544430.5438	770944.03995	1056823.02525	654464.1313	4934952.473175	2666808.07845	870888.7019999998	2860433.804175	2795019.0789	1263655.813625	1438873.9861	1474887.698425	1118742.8133	881237.637925	1224536.448775	943118.68105	2436718.1640666667	1895627.81675	2310575.633066667	1195701.6078	1814497.5854666668	1478358.3628250004	1054941.167425	1931646.789225	1373021.7751749998	1439689.672233333	619699.021475	1440525.5200999996	1379372.790675	1400327.6606750002	1223234.605075	651337.661825	719879.0828	1767265.709775	1288981.964425	1902440.37915	1427251.9562666668	1115683.7155499998	279620.4165	2747991.443375	2624582.399475	4769881.686025	3876095.87325	4441637.9657000005	6217922.148975	3682150.111125	5671553.4526	3648654.8360750005	3176217.279325	3060507.12205	3971238.52035	3920990.97255	2628346.9939750005	3830604.526275	3233018.4656000007	8063281.448775	4474553.69055	4755710.35665	5030389.8948	2707079.748375	2799132.14625	3204476.4125	3717589.64735	2190542.687325	2589669.139325	1802473.834325	1554727.072475	1786121.051375	1854116.779025	1382968.5482	2788908.427625	543043.78375	1615554.588933333	493520.573475	2252872.543175	5696852.56595	905557.419325	678749.03895	1170015.849925	1261535.819925	1989211.341675	652881.3112	854964.4093	1093295.38975	4452433.425499999	2529811.2591000004	3424274.0927	2542918.1828	4431290.719125	2793740.67365	1833372.230266667	2739255.928125	6736311.454949998	1812584.618575	4893547.3401500005	639928.356775
"[orf_trans_mod] TGL3/YMR313C SGDID:S000004930, Chr XIII from 901306-899378, reverse complement, Verified ORF, ""Triacylglycerol lipase of the lipid particle, responsible for all the TAG lipase activity of the lipid particle; contains the consensus sequence motif GXSXG, which is found in lipolytic enzymes"""	2731959.6887800004	2286137.80444	2334285.040525	1212109.095675	1348474.55075	1834556.850925	1608978.1053749996	1793590.8598000002	2940282.19375	1949322.80635	2502302.81855	2141578.83005	3655651.7144	1883179.067175	4216786.535599999	2027451.9955	1549034.253375	3099998.851200001	1921863.382325	1877096.67885	1039695.337925	1811057.464275	1421604.488775	2001088.3788	1957591.0119	2078249.97165	1666397.6152499998	2244769.1799	2588325.68975	2299751.901125	2174817.838875	2224106.647075	2563586.3234	2451650.313	1877076.55545	2168037.46805	2551496.24745	4574079.4717500005	2215370.890875	1767779.40055	2095620.81325	1945108.4271	4551397.87645	2080900.500975	2144759.412675	4108298.71215	2264097.8530750005	3846869.392025	2544027.84505	5097150.314275	1297180.4197250002	3695577.957275	2234367.119775	1938862.7068	2447385.77435	2170231.86095	2175393.4226	2761618.8946	4555756.6475	2061605.0954	3049565.180625	3768748.83065	1885585.276525	2402316.6361	1967693.2113	4522411.4311500015	2741249.381775	2895471.367075	4678228.892125	5425306.5233	2765779.2497	2219464.629925	5683618.110625002	2204699.7794	3296655.753475	2298322.313025	2349656.0435	2161443.4938000003	2276709.307975	2380443.65525	2397271.949525	1224068.906675	2356173.028225	2516442.2695	3511986.24985	3127682.1277750004	2560112.844575	4951650.768575	6921443.1377	2231997.735	3728008.93265	2020854.072975	2071683.625675	4184269.575175	2722783.047325	2253452.06925	2641502.256575	2678352.5609750003	3313422.563975	3025019.9710000004	4132360.8636	3635652.222125	2129999.72155	2147500.719775	3964145.38835	3132667.502250001	2846917.534875
"[orf_trans_mod] PRE5/YMR314W SGDID:S000004931, Chr XIII from 901708-902412, Verified ORF, ""Alpha 6 subunit of the 20S proteasome"""	1936095.2251166662	1971566.080875	2749562.721375	1211200.903025	2108456.201266667	1634535.25815	2699204.23185	1896731.791825	1282798.25515	2606650.094925	2247420.30975	1690139.703525	1268322.490175	1855108.486275	1490246.474725	1911858.41045	1493509.4871	948119.92	1508996.1152	1640396.6985749996	1372955.028225	2025646.442125	1782883.7458	1600716.487925	1734487.359025	1733687.1175	1560270.1604666666	1830781.38955	1285792.58935	1551961.94995	1571165.260225	1853783.4963	2549305.0521	1590658.43355	1533034.159925	1837338.200125	1949736.5530000003	1646971.23285	1663583.7528	1734266.360425	2039478.74445	2211907.629533333	2154297.849225	2562159.1362	2414914.993825	2441535.317633333	2929433.913833333	2279500.657025	2360831.629866666	2033319.88565	2672594.114333333	2167042.9604	3075785.811425	2187062.2142000003	2272018.610575	2716968.7476666667	2006200.969433333	2349606.122625	1749887.935866667	2349053.759833333	1839625.4316	2308297.19515	1917746.3417	1572861.808533333	2289083.54275	1928321.563	2421633.37305	2459940.018866666	2078827.39535	2415486.0623000003	3354254.08775	2592739.106175	1937586.1281666663	2127633.98065	1715642.69485	1376332.303325	2572563.54965	1631720.2279000003	2452773.682625	1426252.49225	1654129.42865	1179323.92835	2322356.061	2361887.755625	2230160.16995	2206019.005633333	2964553.608075001	2821062.084625	2107531.351775	2652393.369275	2179021.048766666	2511750.663066667	2740030.8704000004	1866872.4828	2469948.0066750003	2648539.5699	1589606.34645	1772173.4507749998	2030871.058425	2482456.177425	1831226.488375	1855018.0372	2053488.804	2291809.035025	2246208.838375	2416795.45245	1423844.425225
"[orf_trans_mod] YMR315W/YMR315W SGDID:S000004932, Chr XIII from 902799-903848, Uncharacterized ORF, ""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YMR315W is not an essential gene"""	1506467.0037714285	1534902.64633	708391.2403000002	2641642.9514	2276767.5976750003	2367560.947975	789988.1559250002	2331928.984475	1608753.6585	1480176.7226250004	1772683.6111499998	2669938.1326	566415.263925	1337249.377375	435841.660825	2016015.42415	3035757.911075	1525938.185025	2455225.3925	2717078.720575	613434.8250666667	NA	360562.3363	1214081.806475	224360.2315	3212418.778	2763134.9934	715237.342775	1177335.82865	779548.9074333332	4102570.4858	1279313.848425	2900066.829575001	3067964.0407	4409702.60275	2333662.098025	813722.7386749998	212376.370075	106294.6946	2333144.328	1934726.037425	2171583.021025	410314.5049	3130690.8225	1884055.81365	410806.482025	3038325.630375	395179.34015	1897897.181875	432590.8502	1339425.311725	798760.367725	534174.2447500001	625713.580175	532301.3974	2992690.65185	3066671.07125	621624.599425	1062306.109025	1859873.678925	4062332.1901	1864452.32265	3154852.990725	4885875.5572	6437380.517925	341429.76735	400323.914425	2743467.665975	376294.633425	368954.41405	2570347.405425	2159857.71425	465744.18675	681973.2395749999	367993.736625	1090013.6784	565106.407875	638113.2491	320342.2194	779043.5970000002	2253649.5445	779681.9053000001	156994.83649999998	726080.0939	356202.24955	204891.26016666667	639352.12535	20509.5751	NA	499331.49355	684606.6160500001	1831657.455475	396185.47975	591950.4247	580661.760425	539109.9277	1850087.0269	314031.23535	1346622.0862333337	148243.3721	2527474.2187	497120.2013	3743979.844525	2320461.352325	4461832.77885	472025.686	259899.628525
"[orf_trans_mod] ADH6/YMR318C SGDID:S000004937, Chr XIII from 912141-911059, reverse complement, Verified ORF, ""NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance"""	1343012.691125	1895399.521975	1146727.871075	733378.9421	1238323.6487	1495920.257475	1348861.9581	845771.9155666665	1852159.858775	952632.65305	895603.3642	896494.3533750002	1141399.039325	1462642.640425	2433898.08905	1210624.418533333	1155774.169125	1734843.604475	1298292.557925	1071586.1483	863633.644625	NA	920524.0061333331	1311618.03675	858856.5030499998	905788.20625	1459285.16585	NA	NA	1123873.8754	1428416.48395	1057841.5805	1054894.46115	1176621.2134	1342992.747425	1555885.487	784892.7241	1767302.645875	1348862.2884333334	1552402.56695	1917828.14975	1306825.78015	2723864.1623	1757326.1001000004	2195537.963175	1290538.971775	2046553.307925	1471254.56935	1434086.6141	1324482.26125	NA	1546919.3679	2094803.25025	3452533.53445	1745772.324225	1006191.0832	1130805.878225	3512608.06665	3388204.5397499995	1130014.5823499998	2018901.471875	2470092.214925	923833.46765	NA	3137578.443075	1111345.107766667	2210661.8589	1372155.28925	1877653.684325	4821256.5834	NA	1162570.391466667	2578828.566525	1901375.629775	1676449.3558999996	1215590.5841	1310434.315225	1436716.541975	1511270.40565	966809.7887	2062948.090275	761033.2423	1731545.145225	2064211.567225	1914847.982475	1463554.96825	2798911.000975	2319625.45395	2115069.959825	2583017.39245	962370.2587333334	1445913.1323999998	1275272.437766667	1268193.6383	2488679.8888	3430276.38315	1258707.8038750002	1168545.402375	1463932.38725	1983446.20215	1253295.513375	1074641.511575	1222272.019125	1951156.9395	2214110.412175	2562533.317725	1747747.6654249998
"[orf_trans_mod] SIS1/YNL007C SGDID:S000004952, Chr XIV from 619567-618509, reverse complement, Verified ORF, ""Type II HSP40 co-chaperone that interacts with the HSP70 protein Ssa1p; not functionally redundant with Ydj1p due to due to substrate specificity; shares similarity with bacterial DnaJ proteins"""	2116614.8091333336	1833843.20675	1317114.2487666665	2101801.65865	1800170.7728	1468312.4625	1617348.079775	1756196.120675	2317627.5082666664	2062100.080375	1575377.89965	2449366.1580000003	2254625.577875	1502548.0259666666	2242389.730425	1449769.456675	1782848.5697750002	2043591.389333333	1876201.686775	2517205.028	1576897.4094	1809112.87155	1434386.5200333337	1678988.468325	1522251.9052499996	2711711.9865	2544932.150225	1886014.866925	1520063.773175	1748280.706075	1958041.57235	2489861.886675	1830316.63025	2050904.1256	2195572.8918000003	2985173.762575	1967938.94915	2648047.781875	1701715.034325	2011071.880475	2343246.989475	1566445.503625	1613883.1852	1897099.510625	2021937.712225	2175764.2301000003	1984770.21025	1783189.753575	2085066.48965	1938561.804475	1862327.28555	1768549.547625	2270415.18235	2410134.179425	1404944.760075	2599091.8257	2164634.75315	1823389.641675	2203009.67685	2438786.128525	2517977.1326	1623069.957125	1539538.3161	2025473.5207	2191132.933975	2252468.913675	2314593.851025	2042452.77055	1760396.541475	1494412.45455	1425559.8473249997	1955133.09025	1753179.88625	1580325.0705	1834267.2333	2349047.284833333	2202258.378075	2117718.8661	1624383.6008	1907302.946633333	2497356.291525	NA	1549015.8879	1504884.4504	1802954.5987	1899835.9866	1934751.4572	1083246.5410666668	2412367.3194	1242042.23755	1988080.61875	1567901.024533333	1597787.39085	2306269.47705	1828903.984125	1894191.9009	1719923.83645	1460047.623325	1610150.4540666668	2052076.70775	2324534.0641	1972279.38	1088166.8446	1363482.7928	2352111.9692	1372776.7788333334	1698032.793175
"[orf_trans_mod] YNL010W/YNL010W SGDID:S000004955, Chr XIV from 613636-614361, Uncharacterized ORF, ""Putative protein of unknown function with similarity to phosphoserine phosphatases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; homozygous diploid mutant shows an increase in glycogen accumulation"""	2430700.064	1716899.66402	1890520.6251	1931014.501025	2138291.364	2294804.663275	1591547.6977	1827379.447725	2579563.119425	2497026.191933333	2511603.78275	2844182.7996	1947484.5964	2336640.7967250003	1947854.4608	1817835.901975	2475529.7302	2577952.658425	2232257.756525	2237666.51825	2212954.534425	1288604.1241	2422902.935	3237637.1612	2039600.9555666668	2627821.3675	2634442.69685	2021127.25465	1995000.875575	2517480.5721500004	2470095.38	2101485.328225	2047706.3663250003	2246115.0385	2120445.6977	1809182.6219	2686302.1159	2618956.926975	2552546.69845	2139724.3457	2329357.5571	2376261.562625	2241277.6156	2887453.17065	2182010.027125	2556931.17105	2187631.9408	2024908.0795	3141316.4387	2272747.44045	2285678.4415	2401415.210575	3203000.335675	3440740.751125	2962555.389600001	2411885.47565	3200850.841775	2758910.303575	2527952.6607250003	2135106.885725	2503853.19655	2920071.6601249995	2219244.894425	2796910.5969	2718406.67435	1717428.094975	2376030.5872	2285625.3656333336	1829109.576075	2307085.93245	2166785.9197500004	2315707.638875	2750464.163875	1983369.28425	1709667.795075	1716852.4719999998	2264744.198375	2354569.195675	2545288.139	2100716.142325	2418459.38785	1617580.3090000001	1301770.7037333334	1406311.23045	1848826.9503	1591052.82855	1466593.7628	1322886.9848333334	1717740.0699999996	2319581.765625	1611201.5805000004	2000206.082825	1992546.3735	1403901.1984	2020681.1713	2160248.937	2015165.473775	2204562.315125	2241978.8541	1883362.7198	1519633.262575	1239781.3275	1822597.251175	2324017.721075	1804568.11585	2283544.410225	2388108.441775
"[orf_trans_mod] HEF3/YNL014W SGDID:S000004959, Chr XIV from 606320-609454, Verified ORF, ""Translational elongation factor EF-3; paralog of YEF3 and member of the ABC superfamily; stimulates EF-1 alpha-dependent binding of aminoacyl-tRNA by the ribosome; normally expressed in zinc deficient cells"""	1082157.77316	604793.0143142857	1571203.889025	1598090.4264000002	2354334.5719999997	2780018.019375	1316770.8389249998	2007900.489175	1273425.5899	2838665.115075	3929526.329925	2746954.8016	809405.2720250002	1432868.587575	752464.576325	2193550.662525	2107021.415825	1991949.36595	1464996.0686	1378379.9803999998	2397399.419475	868260.695	3727736.723625	3112375.88995	1806202.97775	1374597.922775	1544305.5776749996	2612772.890075	1797108.870275	3784583.08705	2663302.0422750004	3346498.03285	1239147.67185	1442812.99345	2079181.4284	1460000.9123749996	3548069.155575	746619.6836750002	738828.543525	1507147.2117499998	771855.5593	936109.52955	1504178.8797499996	1772277.35215	1015761.1531	713442.83485	1088110.453	627364.133725	1621505.9132499998	946969.266775	614014.0756333334	1163410.1492750002	620086.698375	1207413.836775	758814.506025	1316667.634075	1867847.9839	1138942.5347	1805455.462475	697460.6742749999	1422410.15735	2052983.888775	1314370.013925	1637121.15215	2178044.121625	452420.6295	841152.8088000001	1892136.63895	355102.09235	950194.862525	1242312.8698666666	668278.055475	626595.578725	878541.433425	1546635.1231333334	932844.8126	1189935.9719	1641506.891125	1024442.1005	1256635.0146666665	958082.9791666665	NA	416173.1112	463164.489	884548.71705	485319.84975000005	410629.5197	NA	NA	975872.35035	648861.4870000001	2202549.1406	416601.4995	NA	977948.23895	NA	944025.5237666669	616184.2133000001	824390.9751666667	611830.0522333332	1063990.7046	313757.2716	1409588.513466667	1459117.812	NA	NA	1427362.224675
"[orf_trans_mod] PBI2/YNL015W SGDID:S000004960, Chr XIV from 605385-605612, Verified ORF, ""Cytosolic inhibitor of vacuolar proteinase B, required for efficient vacuole inheritance; with thioredoxin forms protein complex LMA1, which assists in priming SNARE molecules and promotes vacuole fusion"""	1310611.5104333337	2763507.00062	2173983.957025	1261121.3051999998	1358840.298325	1414668.8386	1287595.5136	1498851.3702999996	1825761.79715	1438269.58385	1908591.00405	1256640.0584	NA	1853493.4709	NA	995283.6667	2973400.56445	NA	1560388.8338	3592226.4990250007	2107115.085	2590107.268833333	1009643.6839	1834092.75735	2970903.3125	2465080.1151750004	3639075.74185	1286906.43555	1166910.9221	2061652.1578	2145630.8372	1144563.855	2066115.6079666663	2950209.797875	NA	1589067.8742000004	1199249.84975	NA	1371292.1277	1434552.158	3077999.005675	1082826.5133	1767493.76185	2305416.711425	1360243.10035	1796756.068225	3607355.296666667	2211736.0941	2378144.34125	2071643.1517	5149365.7194	807308.4782	1894008.036375	4659368.957625002	1410509.579225	1386163.9206499998	4448185.2544	1977365.6268333332	NA	4816218.858	1739081.951225	NA	1233709.8476333334	1526524.577325	3978486.672825	764655.285	2457862.069275	2269351.1051000003	NA	1423355.38375	1794480.9149000002	5529264.975475	612441.4681	1689660.768666667	NA	1223857.30725	1284346.4625666663	NA	NA	NA	1907405.198675	1485425.5310000004	NA	3318649.83305	NA	2487489.37985	2546180.8632	1391982.3776	1822320.52985	2205074.887133333	1514974.9534	4904598.1389	2052733.873975	2834758.1565500004	2377779.755975	2662413.106575	1826956.676175	2121119.171025	1097102.92655	1595888.4244	2348960.942575	1581731.89055	1932467.105566667	2846861.182075	1176641.0656	1780867.0788	NA
"[orf_trans_mod] PUB1/YNL016W SGDID:S000004961, Chr XIV from 602908-604269, Verified ORF, ""Poly(A)+ RNA-binding protein, abundant mRNP-component protein that binds mRNA and is required for stability of a number of mRNAs; not reported to associate with polyribosomes"""	3843545.87463	3587465.1584199998	3326116.95955	3378792.5235	3680450.564425	3295361.016625	3012354.347025	3003385.97585	4433903.201675	3444228.586025	3789184.6961	4493627.1671	3860759.414625	3412504.9411	4035360.539625	3028783.033375	4276914.195075	4808328.361525	4124610.22215	4101099.575075	3856333.34005	3105602.3536	3649366.840175	4282873.35945	3207616.364950001	4010657.058775	3304149.540975	3028574.98135	3204746.508325	3562676.93485	4326840.36055	3285831.916625	3899619.15905	4292802.99845	3495124.1721250005	3311508.591975	3639816.20455	4345578.40535	3215108.544175	3287357.7749	4322123.485425	4128224.61975	4316991.6956750015	4090134.369775	3963864.461125	4887770.849525	4310733.587975	3678262.276125	3638555.267625	4441797.40205	4698823.002325	4872440.996125	4531657.88375	4873242.146000001	3686791.412025	4204693.137875	4341858.06095	3783413.75805	4472740.2895	3552406.7506750007	4806418.96685	4938303.8648000015	3157724.3251	3934838.1705	4373504.7187	3973019.968025	4441009.09595	4601310.055625001	4295165.369775	4495771.522925002	4002623.3941750005	4008156.21665	4376690.001	3758028.8012	4286718.480025	3915032.23095	4032488.871925	4569049.132225	3374699.7127749994	4399022.28115	4139021.935775	2619224.812166666	2533793.652833333	2637027.4729	3264908.68055	3771090.1224	3130785.995075	2680857.5878	2873041.108975	4357583.4034	3823884.165675	4321492.19145	3606416.18825	4210387.351675	3830128.06535	4053321.5782	4835935.81675	4270089.76085	4761664.754500002	4749486.67775	4550782.779425	4047026.451475	4192396.58725	4499882.0142250005	4913826.277475	3785606.55275	3987096.081275
